customer_id,customer_name,region,end_use,customer_type,city,state,years_as_customer,credit_limit
C00051,Prime General Co,Northeast,General Construction,Large Commercial,Providence,RI,1,335000
C00052,Rapid Plumbing Solutions,Southeast,Plumbing,Large Commercial,Orlando,FL,15,125000
C00053,National HVAC Enterprises,Mid-Atlantic,HVAC,Small Commercial,Baltimore,MD,9,190000
C00054,Baltimore Residential Pros,Mid-Atlantic,Residential Construction,Large Commercial,Baltimore,MD,1,210000
C00055,Buffalo Painting Contractors,Northeast,Painting,Small Business,Buffalo,NY,3,35000
C00056,Houston Plumbing Experts,Southwest,Plumbing,Large Commercial,Houston,TX,6,295000
C00057,Detroit Residential Pros,Midwest,Residential Construction,Large Commercial,Detroit,MI,6,275000
C00058,Painting Experts,Mid-Atlantic,Painting,Small Business,Richmond,VA,11,70000
C00059,Residential Supply,Mid-Atlantic,Residential Construction,Large Commercial,Philadelphia,PA,1,165000
C00060,Wilson Flooring Co,Southeast,Flooring,Small Commercial,Atlanta,GA,2,110000
C00061,Johnson Residential Co,Mid-Atlantic,Residential Construction,Large Commercial,Baltimore,MD,15,440000
C00062,Superior Painting Works,Northeast,Painting,Small Commercial,New York,NY,6,155000
C00063,Garcia Plumbing Pros,Midwest,Plumbing,Small Commercial,Cleveland,OH,12,95000
C00064,Anderson Painting Supply,Southeast,Painting,Small Business,Orlando,FL,15,45000
C00065,Rapid Painting Contractors,Northeast,Painting,Small Business,Buffalo,NY,4,85000
C00066,Davis HVAC Experts,Midwest,HVAC,Small Commercial,Milwaukee,WI,11,80000
C00067,Rodriguez & Sons HVAC,Southeast,HVAC,Large Commercial,Orlando,FL,11,495000
C00068,Dallas HVAC Enterprises,Southwest,HVAC,Small Commercial,Dallas,TX,4,70000
C00069,Expert Plumbing Pros,West,Plumbing,Small Business,San Diego,CA,15,50000
C00070,Newark Plumbing Group,Northeast,Plumbing,Small Commercial,Newark,NJ,11,160000
C00071,Los Angeles Masonry Group,West,Masonry,Small Commercial,Los Angeles,CA,13,200000
C00072,Newark General Inc,Northeast,General Construction,Small Business,Newark,NJ,8,40000
C00073,Thomas & Sons Electrical,Midwest,Electrical,Small Business,Milwaukee,WI,15,90000
C00074,Martinez Painting Supply,Northeast,Painting,Small Business,Providence,RI,14,95000
C00075,HVAC Experts,Southeast,HVAC,Small Commercial,Orlando,FL,11,85000
C00076,Houston Roofing Contractors,Southwest,Roofing,Small Commercial,Houston,TX,6,100000
C00077,Philadelphia General Pros,Mid-Atlantic,General Construction,Large Commercial,Philadelphia,PA,12,195000
C00078,Rodriguez & Sons Painting,Northeast,Painting,Small Commercial,Boston,MA,8,115000
C00079,Painting Masters,West,Painting,Independent Contractor,Sacramento,CA,1,35000
C00080,Moore Residential Pros,Southeast,Residential Construction,Independent Contractor,Atlanta,GA,9,20000
C00081,Advanced Plumbing Solutions,Southeast,Plumbing,Small Commercial,Atlanta,GA,11,155000
C00082,Plumbing Pros,Midwest,Plumbing,Large Commercial,Detroit,MI,1,350000
C00083,Martinez General Experts,Southeast,General Construction,Small Business,Miami,FL,3,25000
C00084,Garcia & Sons Residential,Southwest,Residential Construction,Small Commercial,Phoenix,AZ,13,190000
C00085,Johnson Residential Supply,Southwest,Residential Construction,Large Commercial,San Antonio,TX,9,130000
C00086,Metro Residential Enterprises,South Central,Residential Construction,Small Business,Little Rock,AR,1,55000
C00087,Los Angeles Electrical Group,West,Electrical,Large Commercial,Los Angeles,CA,8,170000
C00088,Thomas & Sons Plumbing,Southeast,Plumbing,Small Business,Orlando,FL,6,45000
C00089,Smith & Sons Masonry,Northeast,Masonry,Large Commercial,Boston,MA,10,115000
C00090,Pittsburgh Painting Inc,Mid-Atlantic,Painting,Independent Contractor,Pittsburgh,PA,10,20000
C00091,Ultimate HVAC Enterprises,West,HVAC,Small Business,San Jose,CA,1,75000
C00092,Johnson & Sons General,Southeast,General Construction,Small Commercial,Atlanta,GA,14,115000
C00093,Taylor Plumbing Group,Midwest,Plumbing,Small Commercial,Chicago,IL,7,75000
C00094,Davis Electrical Pros,Northeast,Electrical,Small Business,Buffalo,NY,14,60000
C00095,Brown General Enterprises,Southwest,General Construction,Small Commercial,Dallas,TX,8,140000
C00096,Moore Painting Solutions,Northeast,Painting,Large Commercial,Newark,NJ,3,410000
C00097,Rodriguez & Sons Painting 1,West,Painting,Small Commercial,San Jose,CA,1,130000
C00098,Davis Residential Co,Northwest,Residential Construction,Independent Contractor,Seattle,WA,13,20000
C00099,Rapid Plumbing Services,Northeast,Plumbing,Large Commercial,Newark,NJ,7,255000
C00100,Clark & Sons Painting 1,Southwest,Painting,Small Commercial,Austin,TX,12,135000
C00101,Summit Residential Solutions 1,Southwest,Residential Construction,Small Commercial,San Antonio,TX,2,165000
C00102,Lee Residential Supply,Southeast,Residential Construction,Large Commercial,Orlando,FL,10,435000
C00103,Miami Residential Solutions,Southeast,Residential Construction,Small Commercial,Miami,FL,3,95000
C00104,Metro General Co,West,General Construction,Small Commercial,San Francisco,CA,5,160000
C00105,General Supply,Northwest,General Construction,Large Commercial,Spokane,WA,8,405000
C00106,Smith General Inc,Southeast,General Construction,Small Commercial,Orlando,FL,7,125000
C00107,Pioneer General Inc 1,West,General Construction,Large Commercial,Los Angeles,CA,9,365000
C00108,Residential Experts,Northeast,Residential Construction,Independent Contractor,Providence,RI,8,40000
C00109,Complete Painting Supply 1,Southwest,Painting,Small Commercial,Austin,TX,2,200000
C00110,Reliable Residential Services,Midwest,Residential Construction,Small Business,Detroit,MI,3,30000
C00111,Plumbing Experts,West,Plumbing,Small Business,Sacramento,CA,5,25000
C00112,Pioneer HVAC Contractors,Southwest,HVAC,Small Commercial,Phoenix,AZ,13,175000
C00113,New York Painting Contractors 1,Northeast,Painting,Large Commercial,New York,NY,14,190000
C00114,Smith Residential Experts 1,West,Residential Construction,Small Business,San Diego,CA,12,65000
C00115,Davis Plumbing Inc,Northeast,Plumbing,Small Business,Buffalo,NY,10,25000
C00116,Pro Electrical Services,Mid-Atlantic,Electrical,Small Commercial,Richmond,VA,11,180000
C00117,Wilson & Sons Carpentry,Mid-Atlantic,Carpentry,Small Business,Philadelphia,PA,1,45000
C00118,Clark & Sons Residential 2,Southeast,Residential Construction,Large Commercial,Tampa,FL,6,305000
C00119,Lee Painting Specialists,Northeast,Painting,Small Commercial,New York,NY,7,180000
C00120,Lee & Sons Plumbing,Midwest,Plumbing,Large Commercial,Chicago,IL,6,170000
C00121,Johnson Plumbing Services 1,Northwest,Plumbing,Large Commercial,Spokane,WA,9,330000
C00122,Summit HVAC Contractors,Northeast,HVAC,Small Commercial,Newark,NJ,9,70000
C00123,Precision HVAC Specialists,Mid-Atlantic,HVAC,Small Commercial,Pittsburgh,PA,10,175000
C00124,Premier Residential Pros,Southwest,Residential Construction,Small Business,Dallas,TX,2,55000
C00125,Oklahoma City Plumbing Experts,South Central,Plumbing,Large Commercial,Oklahoma City,OK,15,285000
C00126,Brown Painting Experts,Southeast,Painting,Small Commercial,Atlanta,GA,9,70000
C00127,Austin Plumbing Inc,Southwest,Plumbing,Independent Contractor,Austin,TX,5,35000
C00128,Taylor & Sons Residential,Southwest,Residential Construction,Large Commercial,Austin,TX,5,475000
C00129,General Experts,Southeast,General Construction,Small Commercial,Tampa,FL,6,100000
C00130,Moore & Sons Painting,Southeast,Painting,Small Commercial,Jacksonville,FL,4,160000
C00131,Johnson Residential Solutions,Southwest,Residential Construction,Independent Contractor,San Antonio,TX,12,40000
C00132,Newark Painting Experts,Northeast,Painting,Small Business,Newark,NJ,1,40000
C00133,Smith Painting Co,Southeast,Painting,Large Commercial,Jacksonville,FL,15,390000
C00134,San Diego Painting Inc,West,Painting,Small Business,San Diego,CA,8,60000
C00135,Moore & Sons HVAC,Southwest,HVAC,Large Commercial,San Antonio,TX,11,440000
C00136,Moore HVAC Co,Southwest,HVAC,Independent Contractor,Phoenix,AZ,1,10000
C00137,Quality Residential Inc,Southwest,Residential Construction,Independent Contractor,Phoenix,AZ,13,10000
C00138,Thomas & Sons General,Southeast,General Construction,Large Commercial,Atlanta,GA,1,285000
C00139,General Masters 1,Southwest,General Construction,Small Commercial,San Antonio,TX,13,75000
C00140,Electrical Masters,West,Electrical,Small Commercial,Los Angeles,CA,4,125000
C00141,Davis & Sons Residential,Mid-Atlantic,Residential Construction,Small Commercial,Baltimore,MD,5,155000
C00142,Expert Residential Solutions 1,West,Residential Construction,Small Business,Sacramento,CA,10,65000
C00143,Moore HVAC Contractors,Northeast,HVAC,Small Commercial,Newark,NJ,4,110000
C00144,Residential Supply 1,Midwest,Residential Construction,Small Commercial,Chicago,IL,12,95000
C00145,Residential Masters,West,Residential Construction,Large Commercial,Sacramento,CA,13,130000
C00146,Pittsburgh Residential Works,Mid-Atlantic,Residential Construction,Independent Contractor,Pittsburgh,PA,13,30000
C00147,San Diego Electrical Specialists,West,Electrical,Small Commercial,San Diego,CA,2,190000
C00148,Ultimate Residential Solutions,Northeast,Residential Construction,Small Commercial,Boston,MA,12,70000
C00149,Martinez Painting Services,West,Painting,Independent Contractor,San Jose,CA,3,30000
C00150,Thomas Residential Contractors,Southeast,Residential Construction,Small Commercial,Atlanta,GA,12,185000
C00151,Houston Plumbing Enterprises,Southwest,Plumbing,Large Commercial,Houston,TX,4,350000
C00152,Dynamic General Co,Northwest,General Construction,Small Commercial,Boise,ID,2,120000
C00153,Smith & Sons Electrical,Southwest,Electrical,Small Commercial,Phoenix,AZ,11,85000
C00154,Expert Electrical Supply 1,Southeast,Electrical,Small Commercial,Jacksonville,FL,5,150000
C00155,Davis & Sons General,Southwest,General Construction,Large Commercial,Dallas,TX,2,160000
C00156,Garcia General Specialists,Southwest,General Construction,Small Commercial,Austin,TX,12,160000
C00157,Spokane Electrical Pros,Northwest,Electrical,Independent Contractor,Spokane,WA,11,10000
C00158,National Painting Services,Midwest,Painting,Small Commercial,Milwaukee,WI,8,120000
C00159,Rodriguez & Sons General,Northwest,General Construction,Small Business,Boise,ID,15,75000
C00160,Smith Residential Specialists,West,Residential Construction,Large Commercial,San Jose,CA,4,480000
C00161,Seattle Painting Enterprises,Northwest,Painting,Small Commercial,Seattle,WA,10,80000
C00162,San Francisco Residential Services,West,Residential Construction,Small Business,San Francisco,CA,6,40000
C00163,Milwaukee General Group,Midwest,General Construction,Small Commercial,Milwaukee,WI,9,90000
C00164,Chicago HVAC LLC,Midwest,HVAC,Large Commercial,Chicago,IL,6,250000
C00165,Prime Residential Supply,Southeast,Residential Construction,Small Commercial,Miami,FL,7,130000
C00166,Rodriguez & Sons Plumbing,West,Plumbing,Small Commercial,Los Angeles,CA,10,65000
C00167,Electrical Supply,Southeast,Electrical,Large Commercial,Orlando,FL,8,115000
C00168,Professional Painting Supply,West,Painting,Small Commercial,Sacramento,CA,15,120000
C00169,Los Angeles Painting Inc,West,Painting,Small Business,Los Angeles,CA,3,60000
C00170,Clark & Sons Electrical,Northeast,Electrical,Independent Contractor,Providence,RI,10,25000
C00171,Premier Plumbing Supply,Southeast,Plumbing,Large Commercial,Jacksonville,FL,14,235000
C00172,Clark Painting Pros,Southeast,Painting,Small Commercial,Orlando,FL,12,65000
C00173,Martinez & Sons HVAC,Southwest,HVAC,Small Commercial,Phoenix,AZ,11,195000
C00174,Smith General Supply,Southeast,General Construction,Large Commercial,Miami,FL,12,335000
C00175,General Pros,Midwest,General Construction,Small Business,Milwaukee,WI,6,35000
C00176,Wilson & Sons Roofing,Southwest,Roofing,Large Commercial,San Antonio,TX,5,325000
C00177,Brown Residential Inc,West,Residential Construction,Large Commercial,San Francisco,CA,6,455000
C00178,Moore Electrical Co,Southwest,Electrical,Large Commercial,Phoenix,AZ,13,495000
C00179,Providence General Contractors 1,Northeast,General Construction,Small Business,Providence,RI,12,65000
C00180,Richmond General Works,Mid-Atlantic,General Construction,Large Commercial,Richmond,VA,11,355000
C00181,General Specialists,West,General Construction,Independent Contractor,Los Angeles,CA,7,35000
C00182,Thomas & Sons Painting,Southeast,Painting,Small Commercial,Orlando,FL,10,145000
C00183,General Works,West,General Construction,Large Commercial,Los Angeles,CA,11,150000
C00184,Clark Plumbing Contractors,Southwest,Plumbing,Small Business,San Antonio,TX,4,100000
C00185,Johnson & Sons General 2,West,General Construction,Small Commercial,Sacramento,CA,4,110000
C00186,Oklahoma City General Enterprises 1,South Central,General Construction,Large Commercial,Oklahoma City,OK,5,285000
C00187,Martinez Plumbing Group,Southwest,Plumbing,Independent Contractor,Houston,TX,7,20000
C00188,Quality General LLC,Southeast,General Construction,Small Commercial,Atlanta,GA,8,195000
C00189,Electrical Experts,West,Electrical,Small Commercial,San Jose,CA,12,150000
C00190,Martinez & Sons Painting,Southwest,Painting,Large Commercial,Houston,TX,13,495000
C00191,Pioneer General Pros,Southeast,General Construction,Small Commercial,Atlanta,GA,10,110000
C00192,Thomas & Sons Residential 1,Southeast,Residential Construction,Independent Contractor,Tampa,FL,3,10000
C00193,Miami Plumbing Enterprises,Southeast,Plumbing,Small Business,Miami,FL,6,75000
C00194,New York Residential Contractors,Northeast,Residential Construction,Large Commercial,New York,NY,4,210000
C00195,Davis Residential Enterprises,Northeast,Residential Construction,Independent Contractor,Boston,MA,10,40000
C00196,HVAC Supply,Northeast,HVAC,Small Business,Providence,RI,14,70000
C00197,Wilson & Sons Plumbing 1,West,Plumbing,Small Commercial,Los Angeles,CA,1,105000
C00198,Metro Plumbing Solutions,Southeast,Plumbing,Small Commercial,Atlanta,GA,14,95000
C00199,Wilson Electrical Co 1,West,Electrical,Small Business,Los Angeles,CA,13,25000
C00200,Rodriguez HVAC Group 1,Southeast,HVAC,Large Commercial,Jacksonville,FL,1,385000
C00201,Roofing Masters,West,Roofing,Large Commercial,San Jose,CA,3,125000
C00202,San Antonio Plumbing Solutions 1,Southwest,Plumbing,Small Business,San Antonio,TX,6,65000
C00203,Superior HVAC Inc,Southwest,HVAC,Small Business,Phoenix,AZ,6,35000
C00204,Smith & Sons Residential 1,Southeast,Residential Construction,Small Commercial,Tampa,FL,10,155000
C00205,Martinez Residential Works,West,Residential Construction,Small Business,San Jose,CA,12,30000
C00206,San Antonio HVAC Specialists,Southwest,HVAC,Small Commercial,San Antonio,TX,12,180000
C00207,Rodriguez HVAC Solutions,Northwest,HVAC,Small Business,Seattle,WA,1,75000
C00208,Brown Painting Services,Southwest,Painting,Independent Contractor,Dallas,TX,3,15000
C00209,Plumbing Masters,West,Plumbing,Independent Contractor,Los Angeles,CA,15,5000
C00210,Martinez General Group,Northeast,General Construction,Small Business,Providence,RI,3,45000
C00211,Boston Painting Experts,Northeast,Painting,Small Commercial,Boston,MA,10,95000
C00212,Indianapolis Residential Contractors,Midwest,Residential Construction,Small Business,Indianapolis,IN,13,95000
C00213,Thomas Painting Contractors 1,Mid-Atlantic,Painting,Small Business,Baltimore,MD,13,80000
C00214,Johnson & Sons Residential 1,Southeast,Residential Construction,Large Commercial,Tampa,FL,11,405000
C00215,Rapid Roofing Inc,Mid-Atlantic,Roofing,Small Business,Philadelphia,PA,13,45000
C00216,Pioneer General Experts,Southwest,General Construction,Small Commercial,Austin,TX,15,105000
C00217,Pittsburgh General Pros 1,Mid-Atlantic,General Construction,Small Commercial,Pittsburgh,PA,2,105000
C00218,Phoenix General Group 1,Southwest,General Construction,Independent Contractor,Phoenix,AZ,1,25000
C00219,Davis HVAC Works,Mid-Atlantic,HVAC,Large Commercial,Pittsburgh,PA,1,150000
C00220,Smith General Enterprises 1,West,General Construction,Small Business,San Diego,CA,5,55000
C00221,Elite Residential Experts 1,Southwest,Residential Construction,Small Commercial,Houston,TX,10,135000
C00222,San Francisco Electrical Contractors,West,Electrical,Small Commercial,San Francisco,CA,7,50000
C00223,New York Electrical Specialists,Northeast,Electrical,Small Commercial,New York,NY,11,60000
C00224,General Pros 1,Southeast,General Construction,Small Business,Atlanta,GA,1,80000
C00225,Lee & Sons HVAC,Mid-Atlantic,HVAC,Small Commercial,Philadelphia,PA,12,50000
C00226,Ultimate Painting Supply,Southwest,Painting,Small Commercial,Houston,TX,13,100000
C00227,San Jose Plumbing Enterprises,West,Plumbing,Small Commercial,San Jose,CA,11,120000
C00228,Kansas City HVAC Inc,South Central,HVAC,Large Commercial,Kansas City,MO,12,390000
C00229,Superior General Contractors,West,General Construction,Large Commercial,San Diego,CA,9,350000
C00230,Kansas City Residential Contractors,South Central,Residential Construction,Large Commercial,Kansas City,MO,6,130000
C00231,Taylor Residential Experts 1,Mid-Atlantic,Residential Construction,Large Commercial,Richmond,VA,15,345000
C00232,Garcia Plumbing Enterprises,Southwest,Plumbing,Small Business,Dallas,TX,9,60000
C00233,General Supply 1,Midwest,General Construction,Small Commercial,Indianapolis,IN,6,65000
C00234,Martinez Residential Supply 1,West,Residential Construction,Small Commercial,San Jose,CA,8,105000
C00235,Anderson & Sons Electrical,Southeast,Electrical,Small Commercial,Atlanta,GA,13,200000
C00236,Sacramento Painting LLC,West,Painting,Small Business,Sacramento,CA,3,90000
C00237,Wilson Residential LLC 1,West,Residential Construction,Independent Contractor,Los Angeles,CA,10,15000
C00238,Ultimate Painting Group,Northeast,Painting,Small Commercial,Buffalo,NY,9,105000
C00239,Reliable Residential Experts,Southwest,Residential Construction,Large Commercial,Phoenix,AZ,9,345000
C00240,Brown Residential Works 1,Mid-Atlantic,Residential Construction,Independent Contractor,Philadelphia,PA,5,40000
C00241,San Diego General Supply,West,General Construction,Small Commercial,San Diego,CA,8,60000
C00242,Premier HVAC Co,Midwest,HVAC,Small Commercial,Cleveland,OH,5,190000
C00243,Dallas Roofing Enterprises,Southwest,Roofing,Independent Contractor,Dallas,TX,6,20000
C00244,Johnson General Solutions,West,General Construction,Small Commercial,San Diego,CA,9,140000
C00245,Pro General Contractors,Southwest,General Construction,Small Business,Austin,TX,7,95000
C00246,Tampa Electrical Solutions,Southeast,Electrical,Large Commercial,Tampa,FL,11,145000
C00247,Painting Specialists 1,Southeast,Painting,Large Commercial,Jacksonville,FL,13,180000
C00248,Miami General Contractors,Southeast,General Construction,Small Business,Miami,FL,3,45000
C00249,Dynamic Painting Services 1,Southwest,Painting,Small Business,Dallas,TX,11,60000
C00250,Certified Electrical Specialists,West,Electrical,Small Business,San Jose,CA,3,40000
C00251,Moore & Sons Roofing,West,Roofing,Small Business,San Francisco,CA,15,25000
C00252,Chicago General Enterprises 1,Midwest,General Construction,Large Commercial,Chicago,IL,10,365000
C00253,Davis & Sons Plumbing 1,Northeast,Plumbing,Small Business,Boston,MA,4,80000
C00254,Houston HVAC Experts,Southwest,HVAC,Large Commercial,Houston,TX,7,405000
C00255,Moore & Sons Electrical,Southeast,Electrical,Large Commercial,Atlanta,GA,12,300000
C00256,Painting Works 1,Northeast,Painting,Large Commercial,Buffalo,NY,6,250000
C00257,Atlanta Plumbing Inc,Southeast,Plumbing,Small Commercial,Atlanta,GA,1,95000
C00258,Wilson & Sons Residential,Northwest,Residential Construction,Large Commercial,Spokane,WA,12,300000
C00259,Davis Plumbing Contractors,West,Plumbing,Small Business,San Diego,CA,8,20000
C00260,Sacramento Plumbing Services,West,Plumbing,Small Commercial,Sacramento,CA,10,105000
C00261,Lee Plumbing Co,West,Plumbing,Small Business,San Jose,CA,1,35000
C00262,Garcia Flooring LLC,Southeast,Flooring,Small Commercial,Atlanta,GA,7,55000
C00263,Smith & Sons Painting,Southeast,Painting,Small Business,Orlando,FL,7,100000
C00264,Residential Works,Southeast,Residential Construction,Small Business,Jacksonville,FL,3,35000
C00265,Phoenix Electrical Services,Southwest,Electrical,Small Commercial,Phoenix,AZ,10,130000
C00266,Houston General Supply,Southwest,General Construction,Large Commercial,Houston,TX,6,400000
C00267,Orlando Electrical Solutions,Southeast,Electrical,Small Business,Orlando,FL,15,70000
C00268,Flooring Supply,West,Flooring,Small Commercial,San Francisco,CA,9,180000
C00269,Davis & Sons Roofing,Southeast,Roofing,Small Business,Tampa,FL,14,20000
C00270,Complete Painting Experts 1,Southwest,Painting,Small Business,Houston,TX,5,55000
C00271,Plumbing Experts 1,Northeast,Plumbing,Large Commercial,Providence,RI,3,255000
C00272,Garcia Residential Pros,West,Residential Construction,Large Commercial,Los Angeles,CA,3,360000
C00273,Prime Plumbing Co 1,Northeast,Plumbing,Independent Contractor,Newark,NJ,4,30000
C00274,Martinez & Sons Plumbing,South Central,Plumbing,Small Commercial,Kansas City,MO,8,195000
C00275,Wilson & Sons Painting,Southeast,Painting,Small Business,Jacksonville,FL,8,50000
C00276,Boise Electrical Contractors,Northwest,Electrical,Small Commercial,Boise,ID,13,95000
C00277,Lee & Sons Painting 1,Northeast,Painting,Small Commercial,Newark,NJ,2,140000
C00278,Newark Painting Contractors,Northeast,Painting,Small Commercial,Newark,NJ,1,95000
C00279,Taylor & Sons Painting,Northwest,Painting,Small Commercial,Seattle,WA,8,80000
C00280,Martinez & Sons Residential,West,Residential Construction,Small Business,San Francisco,CA,2,55000
C00281,Austin Residential LLC,Southwest,Residential Construction,Small Business,Austin,TX,2,85000
C00282,San Antonio General LLC,Southwest,General Construction,Small Business,San Antonio,TX,9,45000
C00283,San Antonio Plumbing Enterprises,Southwest,Plumbing,Small Business,San Antonio,TX,5,70000
C00284,Carpentry Specialists,Southwest,Carpentry,Large Commercial,Houston,TX,9,120000
C00285,Advanced Painting Enterprises,Mid-Atlantic,Painting,Large Commercial,Baltimore,MD,8,215000
C00286,Wilson & Sons General,Mid-Atlantic,General Construction,Large Commercial,Richmond,VA,10,165000
C00287,Residential Pros,Mid-Atlantic,Residential Construction,Small Commercial,Richmond,VA,8,190000
C00288,Superior Residential Group,Mid-Atlantic,Residential Construction,Large Commercial,Pittsburgh,PA,12,390000
C00289,Wilson & Sons General 1,Northeast,General Construction,Independent Contractor,New York,NY,11,20000
C00290,Anderson Painting Inc 1,West,Painting,Small Business,Sacramento,CA,3,40000
C00291,Brown General Experts,Southeast,General Construction,Small Commercial,Orlando,FL,13,90000
C00292,Electrical Works,Northwest,Electrical,Independent Contractor,Boise,ID,5,30000
C00293,Lee HVAC Group,Northeast,HVAC,Large Commercial,Boston,MA,7,420000
C00294,Garcia & Sons HVAC,Mid-Atlantic,HVAC,Large Commercial,Richmond,VA,10,240000
C00295,Taylor Plumbing Works,West,Plumbing,Large Commercial,San Diego,CA,6,365000
C00296,Newark Landscaping Enterprises,Northeast,Landscaping,Small Business,Newark,NJ,4,30000
C00297,Ultimate Roofing Inc,Southeast,Roofing,Small Commercial,Jacksonville,FL,1,180000
C00298,Jacksonville Residential Solutions 1,Southeast,Residential Construction,Small Business,Jacksonville,FL,14,100000
C00299,Smith Roofing Co,Southeast,Roofing,Small Business,Orlando,FL,8,25000
C00300,Painting Works,Southeast,Painting,Small Commercial,Jacksonville,FL,9,120000
C00301,Lee Roofing LLC,Northeast,Roofing,Large Commercial,Buffalo,NY,12,235000
C00302,Premier Painting LLC,Southeast,Painting,Small Commercial,Miami,FL,15,190000
C00303,Martinez General Enterprises,West,General Construction,Small Commercial,Sacramento,CA,3,170000
C00304,Moore Painting Pros,Northeast,Painting,Small Commercial,Newark,NJ,7,60000
C00305,Smith & Sons General,Northeast,General Construction,Small Business,Providence,RI,3,80000
C00306,Rapid General Experts,Southeast,General Construction,Independent Contractor,Orlando,FL,11,35000
